Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,23.4,1470,85,429,736,319,24,1470,9,16,56.3,17,12,809,40,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,16.1,859,142,490,336,36,25,859,2,2,100.0,6,0,460,2,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,13.8,812,10,81,377,368,45,812,43,77,55.8,41,20,651,70,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,19.3,654,18,107,235,330,70,654,31,62,50.0,37,24,439,89,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,1.7,47,0,5,18,28,9,47,0,3,0.0,7,3,29,7,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,16.1,596,13,28,262,312,70,596,7,32,21.9,59,24,471,110,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,21.4,1364,58,283,782,317,31,1364,14,29,48.3,43,19,852,43,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,22.3,746,11,44,331,381,115,746,58,82,70.7,107,52,598,142,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,10.3,265,9,19,114,134,48,265,5,9,55.6,27,15,178,53,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,11.4,434,4,57,178,208,38,434,19,51,37.3,24,21,296,69,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,3.7,207,39,112,94,2,2,207,0,1,0.0,3,1,130,0,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,11.0,705,24,162,474,75,8,705,3,7,42.9,16,5,462,13,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,15.6,854,55,291,397,174,7,854,10,18,55.6,17,5,467,33,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,2.5,173,9,55,69,52,5,173,4,14,28.6,2,6,101,2,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,10.5,535,11,46,281,216,26,535,5,12,41.7,10,15,409,45,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,30.4,2309,84,565,1465,296,9,2309,22,35,62.9,28,9,1764,19,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,1.0,50,2,13,25,12,1,50,2,2,100.0,2,0,28,0,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,16.6,550,9,35,242,276,80,549,20,42,47.6,48,38,384,89,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,28.9,2316,270,1042,1146,138,36,2316,9,10,90.0,9,4,1625,10,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,4.7,108,94,108,0,0,0,108,0,0,,0,0,54,0,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17.0,609,492,607,2,0,0,609,0,0,,2,0,284,0,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1.0,41,34,41,0,0,0,41,0,0,,0,0,15,0,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,31.0,1892,109,674,830,403,16,1892,28,50,56.0,29,11,1175,44,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5.0,152,128,151,1,0,0,152,1,2,50.0,0,0,35,0,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,8.1,486,11,58,238,198,23,486,26,42,61.9,26,15,339,41,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,33.5,2765,136,760,1648,387,8,2765,73,102,71.6,40,29,2164,35,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,8.1,249,4,15,135,103,22,248,8,22,36.4,26,8,174,34,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,0.3,8,0,4,2,2,0,8,0,0,,1,0,6,1,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,5.3,158,5,15,83,62,21,158,2,3,66.7,6,8,107,28,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,10.1,256,10,69,89,102,26,256,4,16,25.0,28,6,146,32,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,19.1,1665,33,390,810,482,35,1665,17,27,63.0,26,4,1191,57,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,10.2,674,44,175,441,62,15,674,3,3,100.0,4,1,469,12,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,100,1,20,48,34,4,100,7,8,87.5,3,9,84,6,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,521,86,276,227,19,16,521,0,0,,2,1,321,2,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,2174,34,279,916,1011,88,2173,72,136,52.9,73,79,1643,169,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,131,6,25,53,54,2,131,2,10,20.0,11,7,64,7,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,0,0,0,1,0,1,0,0,,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,1499,16,152,542,826,105,1499,37,72,51.4,74,37,1017,187,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,429,10,60,214,157,25,429,15,28,53.6,16,13,283,45,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,8,0,1,5,2,0,8,0,0,,3,2,9,0,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,481,7,77,154,260,54,481,19,62,30.6,44,24,308,85,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,1202,18,106,680,426,36,1202,14,26,53.8,38,9,894,72,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,719,53,238,411,78,8,719,3,8,37.5,21,8,408,6,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,254,10,59,118,80,5,254,2,4,50.0,3,5,142,10,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,532,49,163,246,126,30,532,3,8,37.5,8,2,261,17,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,1172,28,183,457,558,97,1172,31,76,40.8,65,37,804,132,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,37,3,4,16,17,4,37,1,2,50.0,5,1,28,7,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,48,1,14,15,20,1,48,1,3,33.3,5,3,23,4,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,752,95,424,310,20,15,752,2,3,66.7,2,0,455,1,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,250,41,144,98,8,2,250,2,3,66.7,6,0,148,0,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,492,19,71,227,206,52,492,18,34,52.9,22,20,329,69,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,1406,44,356,841,226,31,1406,18,28,64.3,25,10,959,26,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,113,16,27,73,13,2,113,3,6,50.0,2,2,64,1,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,864,2,20,319,528,112,861,14,27,51.9,32,19,707,145,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,443,17,93,192,164,31,443,5,18,27.8,17,15,258,49,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,567,43,172,231,169,12,567,1,5,20.0,12,3,249,18,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,11,2,6,4,1,0,11,0,0,,1,1,2,0,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,18,0,7,10,1,0,18,0,0,,0,0,7,0,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,716,33,163,426,141,5,716,11,15,73.3,10,4,418,13,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,350,6,73,201,80,6,350,2,6,33.3,5,5,226,13,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,583,7,66,257,272,21,582,19,35,54.3,13,12,383,42,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,911,787,911,0,0,0,911,0,0,,0,0,238,0,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,94,7,29,60,6,1,94,1,1,100.0,0,0,73,1,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,1022,20,140,639,263,20,1022,19,45,42.2,41,22,703,55,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,4,0,1,2,1,0,4,0,0,,0,0,3,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,1269,116,645,599,33,13,1269,3,6,50.0,14,4,896,2,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,46,0,3,24,19,1,46,0,0,,0,1,36,3,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,440,25,165,194,83,4,440,5,6,83.3,7,4,247,15,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,795,28,63,381,362,78,787,15,36,41.7,55,39,538,141,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,339,308,338,1,0,0,339,0,0,,0,0,68,0,Matches,069cb4f8
72,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,756,3,67,348,375,51,756,86,145,59.3,54,36,573,73,Matches,737945d9
73,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,1454,62,421,718,332,9,1454,13,29,44.8,27,6,854,18,Matches,71879f82
74,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,26,22,26,0,0,0,26,0,0,,0,0,9,0,Matches,55196057
75,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,1701,240,847,813,52,27,1701,7,11,63.6,11,4,999,3,Matches,d0b29bbd
76,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,57,1,5,34,18,0,57,1,1,100.0,2,1,40,2,Matches,e90af77c
77,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,230,5,32,119,84,5,230,2,7,28.6,12,10,155,13,Matches,e90af77c
78,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,948,24,149,397,422,73,948,57,105,54.3,41,35,672,90,Matches,8a0a73ad
79,David Braz,br BRA,DF,Fluminense,34,1987,7.9,506,83,269,214,23,6,506,2,6,33.3,6,3,327,0,Matches,9313b408
80,Breno,br BRA,FW,Palmeiras,26,1996,3.7,192,2,19,71,103,25,192,5,7,71.4,9,2,128,30,Matches,e0016d00
81,Bressan,br BRA,DF,Avaí,29,1993,20.6,1214,213,645,553,19,8,1214,2,2,100.0,2,1,810,2,Matches,3db1684c
82,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,899,106,374,424,110,17,899,5,13,38.5,9,5,374,10,Matches,fb29d05d
83,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,67,0,5,42,21,3,67,3,9,33.3,5,2,42,2,Matches,f7a3e78a
84,Bruno,br BRA,MF,Bragantino,18,2003,0.4,17,0,0,10,7,0,17,1,2,50.0,0,1,11,1,Matches,ad8c3404
85,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,850,108,414,421,20,9,850,1,1,100.0,1,0,618,1,Matches,470d197b
86,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,376,15,43,193,143,41,374,13,19,68.4,30,23,285,41,Matches,768cbb2d
87,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,594,12,57,320,225,23,592,13,31,41.9,23,15,385,44,Matches,5752f96d
88,Busanello,br BRA,DF,Juventude,23,1998,3.2,175,5,53,81,41,2,175,0,0,,2,0,97,7,Matches,788c4780
89,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,1942,102,531,917,514,44,1942,15,33,45.5,16,17,1162,65,Matches,82549f54
90,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,101,0,5,47,50,11,101,3,5,60.0,9,4,80,19,Matches,8f774c7f
91,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,1,0,1,0,0,0,1,0,0,,1,0,1,0,Matches,c080bb5e
92,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,1264,78,421,461,393,37,1264,8,20,40.0,27,19,639,55,Matches,16cd17b7
93,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,962,53,251,383,338,37,962,1,7,14.3,11,6,504,48,Matches,6d9dc5be
94,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,29,2,2,16,11,4,29,2,2,100.0,4,2,18,6,Matches,7f2b23f8
95,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,128,4,8,58,63,23,128,1,5,20.0,9,5,90,24,Matches,7f2b23f8
96,Caetano,br BRA,DF,Goiás,22,1999,24.6,1126,194,668,423,41,14,1126,1,3,33.3,7,3,640,2,Matches,226e5efd
97,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,281,4,37,117,136,16,281,7,19,36.8,22,9,204,32,Matches,8d043f1d
98,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,461,53,186,273,4,3,461,1,1,100.0,0,0,326,0,Matches,186ed8f1
99,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,207,6,35,124,51,11,207,5,6,83.3,5,6,157,13,Matches,c84af55e
100,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,477,17,131,221,128,8,477,8,25,32.0,6,9,295,14,Matches,a564fe91
101,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,1026,52,75,403,557,207,1024,28,57,49.1,95,40,753,191,Matches,6922f806
102,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,1147,59,298,740,119,8,1147,3,6,50.0,6,9,752,10,Matches,61a6775b
103,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,49,3,16,31,4,0,49,0,1,0.0,4,0,29,1,Matches,2c79da44
104,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,918,77,245,546,135,9,918,7,17,41.2,21,11,528,17,Matches,dfb81359
105,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,64,7,32,31,2,1,64,1,1,100.0,1,0,42,0,Matches,c455a045
106,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,1630,101,426,815,404,53,1628,10,22,45.5,29,14,809,61,Matches,ca151606
107,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,861,33,111,392,371,146,861,11,23,47.8,39,25,572,123,Matches,9ccf4e14
108,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,596,11,85,252,271,39,596,18,40,45.0,42,23,386,54,Matches,4f5a2f38
109,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,822,26,159,554,116,1,822,7,8,87.5,7,4,564,6,Matches,45075f2f
110,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,672,23,169,264,255,32,672,17,58,29.3,36,18,438,60,Matches,ea2634a1
111,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,2184,109,569,1019,643,45,2184,40,84,47.6,51,33,1118,92,Matches,91ba7336
112,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,281,6,45,155,83,6,281,1,5,20.0,12,4,195,18,Matches,7a694ae4
113,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,1006,43,193,618,207,38,1006,20,37,54.1,35,22,655,28,Matches,7426f085
114,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,764,44,219,355,197,15,764,4,7,57.1,12,11,379,21,Matches,662475de
115,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,184,46,116,60,8,6,184,0,0,,1,0,99,0,Matches,00d6e369
116,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,179,3,24,101,56,2,179,2,2,100.0,5,2,125,12,Matches,e93e479e
117,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,158,2,6,72,84,39,158,2,6,33.3,28,7,96,22,Matches,f50b0b2b
118,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,283,255,283,1,0,0,283,0,0,,0,0,67,0,Matches,ad9e7995
119,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,16,0,2,11,3,1,16,0,0,,1,3,16,1,Matches,ebb2d232
120,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,405,14,71,236,104,11,405,7,11,63.6,17,11,248,10,Matches,a32d25d3
121,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,96,3,23,55,18,0,96,0,0,,4,5,57,1,Matches,a32d25d3
122,Cássio,br BRA,GK,Corinthians,34,1987,34.0,1029,885,1026,3,0,0,1029,0,0,,1,0,298,0,Matches,d42f6326
123,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,1951,352,1091,822,51,30,1951,7,9,77.8,18,7,1258,5,Matches,0470eeba
124,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,214,2,21,92,107,11,214,18,32,56.3,16,12,167,29,Matches,555311f2
125,Cauã,br BRA,DF,Juventude,18,2003,0.5,22,0,10,10,2,0,22,1,1,100.0,0,0,7,0,Matches,3c48a088
126,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,848,752,842,6,0,0,848,1,1,100.0,2,0,221,0,Matches,8470f026
127,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,603,62,248,305,57,16,603,5,9,55.6,10,6,318,9,Matches,3fa61ade
128,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,1922,223,911,954,69,46,1922,11,14,78.6,11,1,1289,1,Matches,10fe831e
129,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,1185,236,789,378,22,14,1185,4,5,80.0,5,4,625,1,Matches,589d070c
130,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,517,105,286,215,16,11,517,3,3,100.0,2,1,293,1,Matches,84b6acaa
131,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,978,142,512,450,20,12,978,2,4,50.0,6,1,670,0,Matches,913e4711
132,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,59,15,38,15,6,4,59,0,0,,2,0,29,0,Matches,2a51efe8
133,Chico,br BRA,MFFW,Juventude,30,1991,24.2,1266,30,213,639,436,27,1265,17,38,44.7,40,22,799,59,Matches,bad7d8a9
134,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,228,8,40,120,70,9,228,3,8,37.5,6,3,146,14,Matches,a856b456
135,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,923,26,81,493,356,104,922,12,19,63.2,53,27,646,106,Matches,875ac6e9
136,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,136,5,21,48,71,11,136,2,5,40.0,10,7,87,18,Matches,6ba81b35
137,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,380,11,74,215,92,14,380,1,5,20.0,11,5,231,23,Matches,68410185
138,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,295,43,164,122,10,3,295,0,1,0.0,4,2,176,0,Matches,3cacc0ec
139,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,111,5,9,48,56,18,111,3,5,60.0,12,5,73,24,Matches,b05870de
140,Cléber,br BRA,FW,Ceará,25,1996,10.9,395,13,35,173,193,59,395,9,17,52.9,32,4,265,65,Matches,e539e239
141,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,502,16,101,297,115,14,502,9,18,50.0,16,17,334,23,Matches,16bf849a
142,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,,,,,,,,,,,,,,Matches,741c6251
143,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,203,12,56,124,26,4,203,2,2,100.0,3,1,127,4,Matches,f3afff11
144,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,908,147,514,361,40,27,908,1,2,50.0,3,0,429,4,Matches,7b18b6db
145,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,122,9,21,57,45,12,122,3,6,50.0,8,6,84,14,Matches,ce070a45
146,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,1704,90,462,977,298,10,1704,36,53,67.9,31,20,995,29,Matches,a3a1198a
147,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,315,5,56,178,87,8,315,7,13,53.8,5,13,226,20,Matches,d8f15d24
148,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,703,20,126,350,235,5,703,3,8,37.5,9,6,418,25,Matches,6501ff61
149,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,7,0,3,4,3,1,7,0,1,0.0,0,0,2,0,Matches,86a118c2
