Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
610,Kaique Rocha,br BRA,DF,Internacional,20,2001,5.0,277,35,146,120,11,4,277,0,2,0.0,0,0,186,3,Matches,b31d385e
611,Marcos Rocha,br BRA,DF,Palmeiras,33,1988,25.0,2248,109,621,1252,400,28,2248,16,29,55.2,13,8,1467,43,Matches,fdd2f275
612,Pedro Rocha Neves,br BRA,FW,Atl Paranaense,27,1994,3.1,104,1,15,35,55,7,104,8,15,53.3,6,6,71,16,Matches,b33e0095
613,Pedro Rocha Neves,br BRA,FWMF,Fortaleza,27,1994,7.7,267,5,38,98,135,25,266,12,28,42.9,27,12,182,32,Matches,b33e0095
614,Rodinei,br BRA,DF,Flamengo,30,1992,9.8,691,13,112,284,305,21,691,22,41,53.7,13,13,467,36,Matches,7696cc85
615,Rodrigo,br BRA,FWMF,São Paulo,17,2004,0.8,46,0,2,27,18,2,46,0,3,0.0,1,1,38,3,Matches,1126f4e2
616,Rodrigo,br BRA,DF,Avaí,23,1998,5.3,330,41,180,146,8,1,330,0,0,,1,0,229,0,Matches,cdfb04f5
617,Élton Rodrigues Brandão,br BRA,FW,Cuiabá,36,1985,3.3,108,3,8,48,52,18,107,0,1,0.0,3,6,88,16,Matches,e59be3c8
618,Raphael Rodrigues,br BRA,DF,Avaí,23,1999,1.4,105,15,63,43,0,0,105,0,0,,1,0,82,0,Matches,548640cf
619,Rodriguinho,br BRA,MF,América (MG),18,2003,2.1,106,3,27,54,29,2,106,2,6,33.3,2,3,62,4,Matches,4565dde3
620,Romarinho,br BRA,FWMF,Fortaleza,27,1994,14.6,638,6,50,281,320,41,638,41,72,56.9,32,25,473,79,Matches,1e7d2cc0
621,Braian Romero,ar ARG,FW,Internacional,30,1991,3.8,121,4,16,52,55,18,121,0,7,0.0,5,6,82,25,Matches,c5cc3130
622,Silvio Romero,ar ARG,FW,Fortaleza,33,1988,12.9,330,15,34,123,177,55,329,5,14,35.7,30,21,236,50,Matches,6a00c4b0
623,Rômulo,br BRA,FW,Atl Paranaense,19,2002,13.3,450,24,88,160,213,37,450,15,31,48.4,32,9,271,54,Matches,03dd053e
624,Romulo,br BRA,DF,Juventude,21,2000,1.9,115,11,63,33,19,2,115,0,2,0.0,0,0,48,2,Matches,395e0e95
625,Rômulo,br BRA,FWMF,Avaí,26,1995,4.7,204,4,19,114,74,9,204,8,17,47.1,15,5,140,13,Matches,9a6eb94c
626,Ronald,br BRA,MFFW,Fortaleza,24,1997,11.7,524,8,82,322,131,12,524,20,39,51.3,23,21,332,23,Matches,cc119c66
627,Ronaldo,br BRA,GK,Atl Goianiense,25,1996,18.0,541,491,540,1,0,0,541,0,0,,0,0,212,0,Matches,711c08dc
628,Budiga Roni,br BRA,MF,Corinthians,22,1999,8.3,418,16,100,245,79,9,418,2,2,100.0,10,8,280,19,Matches,af433614
629,Rony,br BRA,FW,Palmeiras,26,1995,26.5,671,20,51,209,419,143,671,12,35,34.3,65,16,468,153,Matches,bffd5e50
630,Vitor Roque,br BRA,FW,Atl Paranaense,16,2005,14.6,367,0,19,142,216,67,367,15,47,31.9,66,30,238,61,Matches,cb00f1e6
631,Ruan,br BRA,FWMF,Juventude,16,2005,2.5,84,2,13,30,43,8,84,7,15,46.7,6,5,47,8,Matches,07c41bf4
632,Rubens,br BRA,DFMF,Atlético Mineiro,20,2001,13.7,777,26,177,322,287,33,777,25,37,67.6,31,15,446,52,Matches,ae23d044
633,Óscar Ruiz,py PAR,MFFW,Juventude,30,1991,11.0,386,7,44,170,176,32,386,11,30,36.7,24,16,257,57,Matches,620ce7b1
634,Rwan,br BRA,FWMF,Santos,20,2001,5.2,240,7,19,94,131,42,239,10,18,55.6,29,11,175,57,Matches,568a75fd
635,João Victor Santos Sá,br BRA,FW,Botafogo (RJ),27,1994,19.4,853,5,101,371,394,75,853,45,92,48.9,56,30,598,118,Matches,1a1033a1
636,Matheus Sales,br BRA,MFDF,Goiás,26,1995,19.9,707,64,204,395,115,10,707,11,21,52.4,13,9,359,14,Matches,c3c175c4
637,Philipe Sampaio,br BRA,DF,Botafogo (RJ),27,1994,12.5,837,113,423,405,13,5,837,3,7,42.9,5,0,548,0,Matches,72733d93
638,Carlos Sánchez,uy URU,MF,Santos,37,1984,8.7,441,4,54,213,178,10,441,3,9,33.3,7,5,255,28,Matches,a6dbad80
639,Sandry,br BRA,MF,Santos,19,2002,7.7,603,11,80,423,105,4,603,3,6,50.0,2,3,422,11,Matches,8ceeabef
640,Alex Santana,br BRA,MF,Atl Paranaense,26,1995,9.9,455,18,86,293,95,15,455,13,17,76.5,13,7,300,14,Matches,e75dc411
641,Santos,br BRA,GK,Flamengo,31,1990,19.0,589,523,589,0,0,0,589,0,0,,1,0,277,0,Matches,b8d0b69c
642,Ademir Santos,br BRA,FWMF,Atlético Mineiro,26,1995,16.6,682,6,77,228,394,64,682,35,81,43.2,43,23,486,104,Matches,4b7d58c2
643,Chayene Santos,br BRA,MFFW,Botafogo (RJ),31,1990,6.5,297,2,33,151,120,17,297,14,22,63.6,17,17,200,28,Matches,64a427b4
644,Fábio Santos,br BRA,DF,Corinthians,36,1985,17.4,1431,56,425,759,256,16,1429,4,7,57.1,11,5,944,30,Matches,d0d786fd
645,Guilherme Santos,br BRA,FWMF,Bragantino,20,2001,0.5,17,0,2,7,9,1,17,0,2,0.0,0,1,11,3,Matches,6eae9de6
646,Gustavo Santos,br BRA,FW,Avaí,19,2002,0.2,,,,,,,,,,,,,,,Matches,93913c8e
647,Juan Santos,br BRA,FW,São Paulo,19,2002,0.6,23,1,3,7,13,1,23,2,4,50.0,5,1,18,8,Matches,ad89aa96
648,Júnior Santos,br BRA,FWMF,Botafogo (RJ),27,1994,11.9,443,16,64,198,189,42,443,17,38,44.7,44,25,314,50,Matches,9109e933
649,Luis Eduardo Marques dos Santos,br BRA,DF,Atl Goianiense,24,1997,18.2,1111,78,394,405,328,24,1111,14,36,38.9,23,9,613,55,Matches,5c5a0d4d
650,Matheus Santos,br BRA,MF,Goiás,23,1998,0.1,3,0,1,1,1,0,3,1,2,50.0,0,0,2,0,Matches,48125180
651,Rafael Santos,br BRA,DF,Coritiba,23,1998,12.7,627,59,190,252,195,4,627,5,12,41.7,11,5,296,16,Matches,c72a6057
652,Mateus Sarará,br BRA,MF,Avaí,19,2002,4.8,300,22,79,188,36,2,300,2,3,66.7,1,3,198,2,Matches,1b4c1c9c
653,Renzo Saravia,ar ARG,DFMF,Botafogo (RJ),28,1993,20.2,1216,72,339,658,247,22,1216,31,82,37.8,44,19,636,29,Matches,cf316639
654,Eduardo Sasha,br BRA,FWMF,Atlético Mineiro,29,1992,14.3,545,8,44,273,232,61,545,8,21,38.1,23,11,420,85,Matches,b938b871
655,Lucas Sasha,br BRA,MF,Fortaleza,31,1990,14.1,696,39,163,436,104,11,696,5,9,55.6,18,8,361,14,Matches,2e2ec9cf
656,Gustavo Sauer,br BRA,FWMF,Botafogo (RJ),28,1993,3.2,139,2,14,68,62,4,139,6,9,66.7,5,4,82,14,Matches,fd53959e
657,Jefferson Savarino,ve VEN,FW,Atlético Mineiro,25,1996,1.0,49,0,5,21,23,5,49,3,4,75.0,0,3,39,9,Matches,91721722
658,Sávio,br BRA,FWMF,Atlético Mineiro,17,2004,2.4,109,0,5,43,67,5,109,13,16,81.3,12,1,79,14,Matches,fe6e7156
659,Savio,br BRA,DF,Goiás,26,1995,9.4,524,33,187,216,132,5,524,3,8,37.5,9,2,249,7,Matches,3e8c6e2c
660,Gustavo Scarpa,br BRA,MFFW,Palmeiras,28,1994,28.6,1737,18,173,620,963,63,1732,25,67,37.3,53,35,1147,172,Matches,2964fd20
661,Cleiton Schwengber,br BRA,GK,Bragantino,24,1997,37.0,1342,1062,1315,28,0,0,1342,0,0,,0,0,623,0,Matches,d24ae824
662,Shaylon,br BRA,FWMF,Atl Goianiense,24,1997,15.0,787,28,123,351,326,29,787,12,25,48.0,16,12,536,72,Matches,69c11ef0
663,Sidcley,br BRA,DFMF,Cuiabá,28,1993,3.7,208,6,50,96,63,6,208,1,7,14.3,2,3,134,8,Matches,a5e96539
664,Sidimar,br BRA,DF,Goiás,29,1992,5.0,165,37,111,48,6,3,165,0,0,,1,0,74,1,Matches,080fc1f0
665,Sidnei,br BRA,DF,Goiás,32,1989,3.3,110,29,69,36,5,2,110,1,2,50.0,1,1,45,0,Matches,b14d0c5d
666,Pablo Siles,uy URU,MF,Atl Paranaense,24,1997,1.8,79,3,20,45,14,1,79,0,2,0.0,0,2,33,2,Matches,cca1e0b5
667,Aderlan Silva,br BRA,DF,Bragantino,31,1990,29.7,1911,93,525,816,587,36,1911,17,37,45.9,37,18,978,59,Matches,48371573
668,Bruno Silva,br BRA,MF,Avaí,35,1986,28.9,1705,89,390,1063,269,31,1705,19,29,65.5,25,25,1089,51,Matches,6efbf91e
669,Da Silva,br BRA,DF,Goiás,20,2001,6.3,297,51,153,132,12,3,297,1,1,100.0,5,0,166,0,Matches,4772a037
670,Cristiano da Silva Leite,br BRA,DF,Fluminense,28,1993,8.3,543,17,140,241,166,10,543,7,17,41.2,10,12,325,18,Matches,2567b7b6
671,Felipe Silva Lipe,br BRA,DF,Avaí,19,2002,3.0,146,46,106,39,1,1,146,0,0,,1,0,88,0,Matches,6b2bfcda
672,Lucas Silva,br BRA,FWMF,Avaí,24,1998,1.2,47,2,5,21,21,6,47,0,1,0.0,3,2,31,6,Matches,aa47c6ce
673,Marcão Silva,br BRA,MFDF,Cuiabá,31,1991,14.1,594,51,199,294,113,24,594,11,16,68.8,10,8,286,10,Matches,e7f8bf4a
674,Márcio Silva,br BRA,DF,Coritiba,20,2001,2.0,64,21,47,15,3,3,64,0,0,,0,0,29,0,Matches,7ee2ea5b
675,Nathan Silva,br BRA,DF,Atlético Mineiro,24,1997,19.2,1313,134,627,661,31,14,1313,0,0,,7,1,875,2,Matches,369d907c
676,Ricardo Silva,br BRA,DF,América (MG),29,1992,8.3,374,68,214,149,13,8,374,0,1,0.0,2,1,189,0,Matches,a5075276
677,Miguel Silveira,br BRA,MFFW,Bragantino,18,2003,6.3,266,2,37,113,118,19,266,2,12,16.7,15,10,164,30,Matches,281942c4
678,Vinicius Silvestre,br BRA,GK,Palmeiras,27,1994,1.0,21,18,21,0,0,0,21,0,0,,0,0,8,0,Matches,1944518a
679,Jailson Siqueira,br BRA,MF,Palmeiras,26,1995,0.2,15,0,1,5,9,2,15,0,0,,0,0,9,0,Matches,b4819112
680,Everton Soares,br BRA,FWMF,Flamengo,25,1996,15.7,716,4,44,208,483,109,716,52,107,48.6,40,37,526,107,Matches,b1cbc666
681,Tiquinho Soares,br BRA,FW,Botafogo (RJ),31,1991,13.7,530,19,45,276,214,66,529,15,28,53.6,51,31,412,78,Matches,4d982baf
682,Fernando Sobral,br BRA,MF,Ceará,27,1994,11.2,672,31,124,390,167,7,672,13,20,65.0,12,13,474,23,Matches,c012aacd
683,Yeferson Soteldo,ve VEN,FWMF,Santos,24,1997,6.3,288,1,18,109,166,21,288,21,42,50.0,21,21,243,36,Matches,bbb6c951
684,Yan Souto,br BRA,DF,Goiás,20,2001,6.8,327,68,191,127,11,6,327,2,2,100.0,4,2,158,0,Matches,2dffc479
685,Hugo Souza,br BRA,GK,Flamengo,23,1999,14.3,370,296,366,4,0,0,370,0,0,,0,0,164,0,Matches,c02e5af1
686,Igor Vinícius de Souza,br BRA,DFFW,São Paulo,24,1997,12.9,861,19,153,401,317,28,861,23,44,52.3,37,10,525,48,Matches,ec95088d
687,Bruno Tabata,br BRA,FW,Palmeiras,24,1997,5.2,,,,,,,,,,,,,,,Matches,33fdf90d
688,Tadeu,br BRA,GK,Goiás,29,1992,38.0,1416,1193,1410,6,1,1,1416,1,1,100.0,0,0,446,0,Matches,8445554f
689,Tailson,br BRA,FWDF,Santos,22,1999,0.4,29,0,1,20,9,1,29,4,5,80.0,1,0,19,1,Matches,200b381d
690,Taison,br BRA,MFFW,Internacional,34,1988,8.1,479,6,29,249,217,13,479,14,23,60.9,16,10,376,38,Matches,7272a72a
691,Tchê Tchê,br BRA,MF,Botafogo (RJ),29,1992,25.7,1284,28,251,894,151,13,1284,12,18,66.7,21,16,920,15,Matches,5f2caf8f
692,David Terans,uy URU,MF,Atl Paranaense,27,1994,22.3,1040,5,76,458,529,73,1033,31,65,47.7,67,25,650,90,Matches,d3d89d8d
693,Miguel Terceros,bo BOL,FW,Santos,17,2004,0.3,25,0,0,8,17,1,25,1,2,50.0,0,1,19,2,Matches,d66ed604
694,Thiago,br BRA,GK,São Paulo,22,1999,2.7,104,91,104,0,0,0,104,0,0,,0,0,58,0,Matches,602d20ae
695,Guilherme Tinga,br BRA,DF,Fortaleza,28,1993,13.1,854,76,280,427,157,14,854,10,21,47.6,8,5,420,13,Matches,a8331ab0
696,Titi,br BRA,DF,Fortaleza,33,1988,31.1,1364,167,644,705,32,12,1364,6,12,50.0,17,4,806,5,Matches,ea41ddf7
697,Igor Torres,br BRA,FWMF,Fortaleza,21,2000,0.1,14,0,3,4,7,1,14,1,2,50.0,2,2,10,1,Matches,cc9b11b1
698,Jesús Trindade,uy URU,MF,Coritiba,28,1993,14.6,843,38,228,513,110,1,843,7,10,70.0,14,15,511,3,Matches,066e9f5d
699,Bruno Tubarão,br BRA,FWMF,Bragantino,26,1995,5.0,225,2,20,99,112,14,225,7,12,58.3,5,12,170,22,Matches,5411ef4f
700,Uendel,br BRA,DF,Cuiabá,33,1988,14.7,901,40,298,401,214,11,901,6,10,60.0,7,5,524,15,Matches,0bd9e045
701,Valdemir,br BRA,MF,Coritiba,24,1997,6.9,461,15,114,276,76,1,461,11,17,64.7,12,9,324,7,Matches,82cca681
702,Valdívia,br BRA,MFFW,Cuiabá,27,1994,15.4,659,12,80,266,326,40,659,27,44,61.4,36,20,484,92,Matches,e12be458
703,Vanderlan,br BRA,DF,Palmeiras,19,2002,7.2,378,15,99,192,92,4,378,1,4,25.0,2,3,223,15,Matches,bd8432ff
704,Guillermo Varela,uy URU,DF,Flamengo,28,1993,2.9,164,14,43,82,41,2,164,1,5,20.0,4,3,95,7,Matches,5c961282
705,Eduardo Vargas,cl CHI,FW,Atlético Mineiro,32,1989,12.7,637,8,45,310,296,47,635,25,42,59.5,43,14,484,74,Matches,bd603c00
706,Matheus de Vargas,br BRA,MF,Fortaleza,25,1996,4.6,210,3,26,107,81,10,210,10,16,62.5,20,6,144,23,Matches,e43a07d4
707,Jhon Vasquez,co COL,FWMF,Ceará,26,1995,4.6,183,6,20,69,99,17,183,7,11,63.6,13,5,130,21,Matches,b6832e5e
708,Rafael Vaz,br BRA,DF,Avaí,33,1988,15.5,998,141,496,462,48,9,998,5,6,83.3,7,5,655,3,Matches,244fc074
709,Raphael Veiga,br BRA,MF,Palmeiras,26,1995,14.0,667,6,52,362,260,44,664,23,35,65.7,30,25,518,80,Matches,6e5a3bc7
710,Emiliano Velázquez,uy URU,DF,Santos,27,1994,6.0,414,48,184,213,19,4,414,3,3,100.0,2,2,275,0,Matches,5efb80d5
711,Fausto Vera,ar ARG,MF,Corinthians,21,2000,14.5,1196,55,285,797,124,16,1196,4,9,44.4,21,11,836,4,Matches,8b3b381b
712,Gabriel Veron,br BRA,FWMF,Palmeiras,19,2002,6.3,210,5,37,77,106,22,210,11,22,50.0,10,10,129,38,Matches,6bc49da7
713,João Vialle,br BRA,DF,Atl Paranaense,19,2002,0.3,19,0,7,11,2,0,19,1,1,100.0,0,0,12,0,Matches,c63a8bf0
714,João Victor,br BRA,MF,Ceará,17,2004,0.2,20,0,0,11,9,1,20,0,1,0.0,1,2,16,1,Matches,e78d763e
715,João Victor,br BRA,DF,Corinthians,23,1998,5.4,367,42,218,144,6,5,367,2,4,50.0,6,1,242,1,Matches,d60cf08d
716,Marcos Victor,br BRA,DF,Ceará,20,2001,4.0,235,34,120,109,9,1,235,4,4,100.0,2,2,143,0,Matches,d714fc5a
717,Arturo Vidal,cl CHI,MF,Flamengo,34,1987,9.3,863,10,116,479,273,15,862,2,5,40.0,10,1,649,24,Matches,67cdbc0e
718,Caio Vidal,br BRA,FWMF,Internacional,21,2000,1.7,41,0,8,19,16,6,41,2,4,50.0,6,5,34,6,Matches,599ab970
719,Elvis Vieira Araújo,br BRA,MFFW,Goiás,31,1990,9.4,597,5,59,364,183,8,594,4,11,36.4,13,9,391,28,Matches,b5391b63
720,Gabriel Vieira,br BRA,FW,Palmeiras,19,2002,0.1,2,0,0,0,2,0,2,0,0,,1,0,1,0,Matches,63904ba9
721,Luan Vieira,br BRA,MFFW,Santos,28,1993,5.0,300,1,27,188,89,5,300,5,13,38.5,10,8,237,20,Matches,c4f6bf06
722,Marcos Vinicios Sorriso,br BRA,FW,Bragantino,20,2001,15.0,666,11,93,234,348,50,666,11,45,24.4,44,30,469,87,Matches,e816a8ee
723,Vinícius,br BRA,FWMF,Ceará,30,1991,26.7,1432,16,144,719,597,52,1432,16,33,48.5,28,23,1032,128,Matches,ee01c84d
724,Vinicius,br BRA,MFDF,Santos,22,1999,0.8,44,4,12,23,10,2,44,1,2,50.0,3,1,15,0,Matches,ab3ef9c4
725,Vinícius,br BRA,MFFW,Goiás,28,1993,21.7,807,23,110,318,400,53,807,32,73,43.8,51,18,566,100,Matches,b6bd2b80
726,Vinícius,br BRA,FW,Botafogo (RJ),22,1999,9.7,326,14,53,156,123,23,326,17,40,42.5,23,17,203,35,Matches,ecce7383
727,Vinicius,br BRA,MF,Cuiabá,22,1999,0.1,10,1,3,2,6,0,10,1,1,100.0,1,0,7,0,Matches,badaed00
728,Caio Vinícius,br BRA,MF,Goiás,23,1999,17.3,709,54,207,395,119,20,709,14,21,66.7,26,17,366,21,Matches,8529df9f
729,Mateus Vital,br BRA,FWMF,Corinthians,23,1998,8.2,416,5,52,203,170,12,416,17,39,43.6,10,12,296,28,Matches,db9c8fa4
730,Vitão,br BRA,DF,Internacional,21,2000,31.0,1526,266,827,678,23,15,1526,0,2,0.0,2,1,993,1,Matches,d4f034db
731,Vitinho,br BRA,FW,Atl Paranaense,22,1999,15.9,611,13,97,218,305,60,611,16,40,40.0,36,25,413,73,Matches,06d4b2e4
732,Vitinho,br BRA,FWMF,Flamengo,28,1993,5.3,261,7,26,101,138,29,261,11,20,55.0,9,5,199,33,Matches,a9e68c94
733,Vitinho,br BRA,FWMF,Avaí,21,2000,4.0,144,5,14,83,52,12,144,8,15,53.3,19,8,112,27,Matches,5e5cc7a9
734,João Vitor,br BRA,MF,Coritiba,21,2000,0.1,2,0,1,2,0,0,2,1,1,100.0,1,0,2,0,Matches,b8d3d5ee
735,Vladimir,br BRA,GK,Avaí,32,1989,22.5,727,653,727,0,0,0,727,0,0,,0,0,265,0,Matches,bbae502c
736,Max Walef,br BRA,GK,Fortaleza,28,1993,5.0,108,97,108,0,0,0,108,0,0,,0,0,45,0,Matches,6411a48d
737,Walter,br BRA,GK,Cuiabá,34,1987,27.4,791,688,790,1,0,0,791,0,1,0.0,1,0,240,0,Matches,8bae322b
738,Wanderson,br BRA,DF,Atl Goianiense,30,1991,27.2,1339,252,785,535,21,11,1339,1,1,100.0,5,2,871,1,Matches,f612025c
739,Wanderson,br BRA,FWMF,Internacional,27,1994,17.8,729,7,75,221,455,78,729,43,74,58.1,35,17,550,95,Matches,5da33b33
740,Warley,br BRA,FWMF,Coritiba,22,1999,6.2,296,13,65,121,116,13,296,2,13,15.4,18,10,191,29,Matches,8f385e2e
741,Welington,br BRA,DFFW,São Paulo,20,2001,18.6,1287,48,233,506,560,33,1287,29,64,45.3,32,22,749,72,Matches,a7f95b1f
742,José Welison,br BRA,MF,Fortaleza,26,1995,19.1,1085,38,224,679,196,11,1085,20,31,64.5,11,19,646,28,Matches,b6cb4d16
743,Weliton,cl CHI,MF,Juventude,16,2005,0.0,3,1,1,0,2,2,3,0,0,,0,0,2,0,Matches,721322fb
744,Wellington,br BRA,DF,Avaí,26,1995,3.0,165,38,108,55,4,3,165,0,1,0.0,0,0,113,0,Matches,ed36f825
745,Welliton,br BRA,MFFW,Bragantino,21,2000,1.1,71,1,4,19,50,4,71,6,14,42.9,6,5,55,11,Matches,d1a7e953
746,Wendell,br BRA,MF,Ceará,19,2002,0.1,5,1,2,2,1,0,5,0,0,,0,0,2,0,Matches,82b7e058
747,Werik,br BRA,FW,Bragantino,20,2001,5.7,156,7,9,80,67,30,156,3,9,33.3,21,17,95,36,Matches,8b20ba5f
748,Werton,br BRA,FW,Flamengo,18,2003,0.3,18,2,3,3,13,3,18,0,2,0.0,1,0,10,4,Matches,d07bde9d
749,Wescley,br BRA,MF,Ceará,30,1991,0.8,32,0,6,17,10,1,32,1,4,25.0,1,2,18,2,Matches,5a43c680
750,Wesley,br BRA,FW,Palmeiras,22,1999,7.2,340,10,42,107,195,46,340,17,41,41.5,24,10,207,50,Matches,434de3a3
751,Weverson,br BRA,MF,Bragantino,21,2000,0.5,17,0,1,7,9,1,17,0,1,0.0,1,2,6,1,Matches,b9829bf7
752,Weverton,br BRA,DF,Internacional,22,1999,0.5,40,1,10,13,17,0,40,0,0,,0,0,22,1,Matches,6ae59cc2
753,Wéverton,br BRA,GK,Palmeiras,34,1987,34.0,1112,896,1100,12,0,0,1112,0,0,,3,0,531,0,Matches,81be82e9
754,Rafael William,br BRA,GK,Coritiba,20,2001,6.0,143,129,143,0,0,0,143,0,0,,0,0,41,0,Matches,eb9f6c10
755,Willian,br BRA,FWMF,Fluminense,35,1986,5.3,259,6,34,118,112,24,259,8,19,42.1,15,10,163,27,Matches,1f85d0c8
756,Willian,br BRA,FW,Corinthians,33,1988,9.2,491,10,48,220,235,24,491,35,51,68.6,19,12,388,45,Matches,8b9ebd03
757,Xavier,br BRA,MF,Corinthians,21,2000,1.8,88,9,22,61,6,0,88,0,0,,2,1,52,0,Matches,f16ed217
758,Samuel Xavier,br BRA,DF,Fluminense,31,1990,31.4,2177,72,583,977,633,39,2177,17,33,51.5,24,25,1455,71,Matches,0c870df5
759,Yago,br BRA,MFDF,Fluminense,26,1995,12.6,751,28,160,344,253,28,751,5,17,29.4,27,21,536,53,Matches,e2add0e7
760,Ytalo,br BRA,FW,Bragantino,34,1988,6.9,141,8,11,67,63,17,141,0,1,0.0,2,1,89,22,Matches,423e3d0b
761,Marcos Ytalo,br BRA,DF,Ceará,25,1996,1.8,77,2,13,31,33,4,77,0,3,0.0,1,2,40,7,Matches,70053afc
762,Vinícius Zanocelo,br BRA,MF,Santos,21,2001,22.3,1148,49,245,673,242,31,1148,13,27,48.1,22,13,751,34,Matches,27457e83
763,Federico Zaracho,ar ARG,MFFW,Atlético Mineiro,23,1998,20.9,1195,17,124,657,421,88,1195,20,38,52.6,46,29,859,116,Matches,803d5265